video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"-HVfBljdSWE","강승윤(KANG SEUNG YOON) - '아이야 (IYAH)' M/V","2021-03-29T09:00:00Z","UCayQxFAoFCvGariuQCtHRGQ","WINNER","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"zxpKQaf8V8M","LIVE: Countdown to the #QatarGP!","2021-03-28T17:08:34Z","UC8pYaQzbBBXg9GIOHRvTmDQ","MotoGP","17","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"iBku4OuZfvs","빅히트 정도전 이현! 빅히트 신사옥 투어하다","2021-03-30T11:00:01Z","UCppou5iYD1t_sMx2t_DHikw","혀니콤보 TV","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"yhXhSOUeDKA","Penggandaan Uang ? INI MAINAN ANAK !! ~ #ILMUMERAH","2021-03-26T10:30:03Z","UC6MPC52WuxbE2n7QQ23qvjw","Marcel Radhival","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"5FIYV_71lRs","Alasan Marcell Siahaan Memeluk Agama Islam - Daniel Tetangga Kamu","2021-03-31T09:00:00Z","UC0zTYTRQe77tnOIS03HaNeg","Daniel Mananta Network","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"Svz5F8J1Ap0","MAHALINI - MELAWAN RESTU (OFFICIAL MUSIC VIDEO)","2021-03-26T08:00:15Z","UCYJo04cZFlwL3XNnJ8aYtTw","HITS Records","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"Wn_tuZ86oNI","Rp2.3 Juta dapet Super AMOLED! UNBOXING XIAOMI REDMI NOTE 10 & NOTE 10 PRO!!","2021-03-30T13:38:33Z","UC1dI4tO13ApuSX0QeX8pHng","GadgetIn","28","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"mu97cXF-7cA","BURGER LOVANO LOVETO","2021-03-20T05:05:44Z","UCbcqLlPfZ5GTc-mNLkYTz1g","Fadil Jaidi","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"6swmTBVI83k","Lil Nas X - MONTERO (Call Me By Your Name) (Official Video)","2021-03-26T04:00:14Z","UCtTfSyci2urfwXXu_eRpNRA","LilNasXVEVO","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"va5zUR0fSkM","Saat Teduh - MATI ADALAH KEUNTUNGAN JIKA HIDUP ADALAH KRISTUS | 31/03/21 (Official Philip Mantofa)","2021-03-31T13:21:43Z","UCaxNFw2ryxzjSAxRVP-0Dfg","Philip Mantofa","29","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"BpFqFWdBO2o","[THE BOX OST] CHANYEOL 찬열 'Without You' Track MV","2021-03-25T09:00:08Z","UCzCedBCSSltI1TFd3bKyN6g","EXO","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"ljRlgCAWLGY","SUPER JUNIOR 슈퍼주니어 ‘House Party' Special Video - House ver.","2021-03-29T09:00:27Z","UCFipx49muiJ8-d2YsnLlNVw","SUPER JUNIOR","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
